Event Name,Event ID
Moss & Rygge Open,9533
21,Charles Schwab Challenge
131,NV5 Invitational presented by Old National Bank
9532,Cubefunder Shootout
520,KitchenAid Senior PGA Championship
9531,Memorial Giorgio Bordoni 2022
9530,Singha Laguna Phuket Open 2022
9520,Stora Hotellet Fjällbacka Open
33,PGA Championship
FBC Zim Open,9517
9515,Golf Partner Pro-Am Tournament 2022
2022307,Challenge de España 
AdventHealth Championship,100
Blue Canyon Open,9519
9505,Asia Pacific Open Golf Championship Diamond Cup Golf
19,AT&T Byron Nelson
2022115,Soudal Open
30th Goesser Open 2022,9508
Blue Canyon Classic,9511
Regions Tradition,558
9513,Lombard Insurance Classic
Laguna Phuket Cup,9510
9512,Altron Big Easy Tour 1 - Blue Valley
9507,Woori Financial Group Championship
11,Visit Knoxville Open
Rewell Elisefarm Challenge,9509
120,Simmons Bank Open for the Snedeker Foundation
9501,Barncancerfonden Open presented by Ahlsell
Quito Open,22
2021 Tailor-made Building Services NT PGA Championship,9500
480,Wells Fargo Championship
