Event Name,Event ID
Omega Dubai Desert Classic,2019012
Farmers Insurance Open,4
125,The Bahamas Great Abaco Classic at The Abaco Club
2,Desert Classic
2019010,Abu Dhabi HSBC Championship presented by EGA
The Bahamas Great Exuma Classic at Sandals Emerald Bay,124
6,Sony Open in Hawaii
16,Sentry Tournament of Champions
Alfred Dunhill Championship,2019006
2019004,South African Open hosted by the City of Johannesburg
478,Hero World Challenge
Australian PGA Championship,2019002
Afrasia Bank Mauritius Open at Anahita,2019003
Honma Hong Kong Open presented by Amundi,2019000
2018090,"DP World Tour Championship, Dubai"
The RSM Classic,493
457,Mayakoba Golf Classic
Nedbank Golf Challenge hosted by Gary Player,2018089
2018088,Turkish Airlines Open
Shriners Hospitals for Children Open,47
Sanderson Farms Championship,54
489,World Golf Championships-HSBC Champions
2018084,Andalucia Valderrama Masters hosted by the Sergio Garcia Foundation
521,THE CJ CUP @ NINE BRIDGES
494,CIMB Classic
2018082,Sky Sports British Masters
2018080,Alfred Dunhill Links Championship
464,Safeway Open
TOUR Championship,60
Portugal Masters,2018078
Web.com Tour Championship,45
2018076,KLM Open
27,Albertsons Boise Open presented by Kraft Nabisco
BMW Championship,28
Omega European Masters,2018074
Dell Technologies Championship,505
2018072,Made In Denmark
DAP Championship presented by NewBrick,119
D+D Real Czech Masters,2018070
THE NORTHERN TRUST,27
94,Nationwide Children's Hospital Championship
2018068,Nordea Masters
Wyndham Championship,13
111,WinCo Foods Portland Open presented by Kraft-Heinz
33,PGA Championship
Ellie Mae Classic at TPC Stonebrae,99
476,World Golf Championships-Bridgestone Invitational
2018065,Fiji International presented by Fiji Airways
KC Golf Classic,100
2018062,Porsche European Open
32,RBC Canadian Open
22,Price Cutter Charity Championship presented by Dr Pepper
100,The Open Championship
Barbasol Championship,518
Pinnacle Bank Championship presented by Heartland Chevy Dealers,123
John Deere Classic,30
2018058,Aberdeen Standard Investments Scottish Open
26,Utah Championship presented by Zions Bank
LECOM Health Challenge,118
490,A Military Tribute at The Greenbrier
Dubai Duty Free Irish Open hosted by the Rory Foundation,2018056
Quicken Loans National,471
HNA Open de France,2018054
122,Lincoln Land Championship presented by LRS
34,Travelers Championship
BMW International Open,2018052
23,Wichita Open Supporting Wichita's Youth
26,U.S. Open
112,Rust-Oleum Championship
Shot Clock Masters,2018048
25,FedEx St. Jude Classic
Italian Open,2018046
the Memorial Tournament presented by Nationwide,23
48,Rex Hospital Open
120,Nashville Golf Open Benefitting the Snedeker Foundation
Fort Worth Invitational,21
2018044,BMW PGA Championship
2018042,Belgian Knockout
BMW Charity Pro-Am presented by SYNNEX Corporation,37
19,AT&T Byron Nelson
11,THE PLAYERS Championship
2018040,Rocco Forte Sicilian Open
Knoxville Open,11
480,Wells Fargo Championship
Volvo China Open,2018036
United Leasing & Finance Championship,106
2018034,Trophee Hassan II
North Mississippi Classic,127
41,Valero Texas Open
2018032,Open de España
RBC Heritage,12
14,Masters Tournament
20,Houston Open
128,Savannah Golf Championship
522,Corales Puntacana Resort & Club Championship
Chitimacha Louisiana Open presented by NACHER,36
Arnold Palmer Invitational presented by Mastercard,9
El Bosque Mexico Championship by Innova,95
Valspar Championship,475
2018022,Hero Indian Open
Tshwane Open,2018021
World Golf Championships-Mexico Championship,473
2018018,Commercial Bank Qatar Masters
10,The Honda Classic
2018016,NBO Oman Open
Genesis Open,7
104,Club Colombia Championship
5,AT&T Pebble Beach Pro-Am
Maybank Championship,2018012
Waste Management Phoenix Open,3
84,Panama Championship
Farmers Insurance Open,4
Omega Dubai Desert Classic,2018010
125,The Bahamas Great Abaco Classic at The Abaco Club
2,CareerBuilder Challenge
2018008,Abu Dhabi HSBC Championship presented by EGA
The Bahamas Great Exuma Classic at Sandals Emerald Bay,124
2018004,BMW SA Open hosted by the City of Ekurhuleni
6,Sony Open in Hawaii
16,Sentry Tournament of Champions
Joburg Open,2017098
478,Hero World Challenge
2017097,AfrAsia Bank Mauritius Open
Australian PGA Championship,2017096
UBS Hong Kong Open,2017095
The RSM Classic,493
2017094,"DP World Tour Championship, Dubai"
Nedbank Golf Challenge hosted by Gary Player,2017092
OHL Classic at Mayakoba,457
2017090,Turkish Airlines Open
Shriners Hospitals for Children Open,47
489,World Golf Championships-HSBC Champions
Sanderson Farms Championship,54
521,THE CJ CUP @ NINE BRIDGES
2017086,Andalucia Valderrama Masters hosted by the Sergio Garcia Foundation
494,CIMB Classic
Italian Open,2017084
2017082,Alfred Dunhill Links Championship
464,Safeway Open
Web.com Tour Championship,45
2017080,British Masters supported by Sky Sports
TOUR Championship,60
DAP Championship,119
Portugal Masters,2017078
BMW Championship,28
27,Albertsons Boise Open presented by Kraft Nabisco
2017076,KLM Open
Omega European Masters,2017074
Dell Technologies Championship,505
94,Nationwide Children's Hospital Championship
2017072,D+D REAL Czech Masters
THE NORTHERN TRUST,27
111,WinCo Foods Portland Open presented by Kraft-Heinz
Made In Denmark,2017070
News Sentinel Open presented by Pilot,11
Fiji International,2017068
Wyndham Championship,13
22,Price Cutter Charity Championship presented by Dr Pepper
33,PGA Championship
476,World Golf Championships-Bridgestone Invitational
Ellie Mae Classic at TPC Stonebrae,99
2017060,Porsche European Open
32,RBC Canadian Open
100,Digital Ally Open
Pinnacle Bank Championship presented by Heartland Chevy Dealers,123
100,The Open Championship
Barbasol Championship,518
2017056,Aberdeen Asset Management Scottish Open
John Deere Classic,30
26,Utah Championship presented by Zions Bank
The Greenbrier Classic,490
Dubai Duty Free Irish Open hosted by the Rory Foundation,2017054
LECOM Health Challenge,118
HNA Open de France,2017052
120,Nashville Golf Open Benefitting the Snedeker Foundation
Quicken Loans National,471
34,Travelers Championship
2017050,BMW International Open
Lincoln Land Charity Championship,122
26,U.S. Open
Air Capital Classic Supporting Wichita's Youth,23
112,Rust-Oleum Championship
LYONESS OPEN powered by ORGANIC+,2017046
25,FedEx St. Jude Classic
48,Rex Hospital Open
2017044,Nordea Masters
the Memorial Tournament presented by Nationwide,23
2017042,BMW PGA Championship
DEAN & DELUCA Invitational,21
BMW Charity Pro-Am presented by SYNNEX Corporation,37
2017040,"Rocco Forte Open - Verdura, Sicily"
19,AT&T Byron Nelson
11,THE PLAYERS Championship
2017038,Open de Portugal at Morgado Golf Resort
Corales Puntacana Resort and Club Championship,117
480,Wells Fargo Championship
El Bosque Mexico Championship by Innova,95
2017034,Volvo China Open
41,Valero Texas Open
United Leasing & Finance Championship,106
2017032,Shenzhen International
Trophee Hassan II,2017030
RBC Heritage,12
14,Masters Tournament
20,Shell Houston Open
Puerto Rico Open,483
Chitimacha Louisiana Open presented by NACHER,36
Arnold Palmer Invitational presented by Mastercard,9
2017020,Hero Indian Open
Valspar Championship,475
2017018,Tshwane Open
World Golf Championships-Mexico Championship,473
Joburg Open,2017014
10,The Honda Classic
Genesis Open,7
Panama Claro Championship,84
104,Club Colombia Championship by Servientrega
Maybank Championship,2017010
5,AT&T Pebble Beach Pro-Am
Waste Management Phoenix Open,3
Omega Dubai Desert Classic,2017008
Commercial Bank Qatar Masters,2017006
Farmers Insurance Open,4
125,The Bahamas Great Abaco Classic at The Abaco Club
Abu Dhabi HSBC Championship,2017004
2,CareerBuilder Challenge
BMW SA Open hosted by City of Ekurhuleni,2017002
6,Sony Open in Hawaii
The Bahamas Great Exuma Classic at Sandals Emerald Bay,124
16,SBS Tournament of Champions
