Player Name,Course Name,Year Played,Date Completed,Round 1 Score,Round 2 Score,Round 3 Score,Round 4 Score,Round 1 SG Total,Round 2 SG Total,Round 3 SG Total,Round 4 SG Total,Round 1 SG App,Round 2 SG App,Round 3 SG App,Round 4 SG App,Round 1 SG Arg,Round 2 SG Arg,Round 3 SG Arg,Round 4 SG Arg,Round 1 SG Putt,Round 2 SG Putt,Round 3 SG Putt,Round 4 SG Putt,Round 1 Driving Distance,Round 2 Driving Distance,Round 3 Driving Distance,Round 4 Driving Distance,Round 1 Driving Accuracy,Round 2 Driving Accuracy,Round 3 Driving Accuracy,Round 4 Driving Accuracy
"Hoffman, Charley",Torrey Pines (South),2021,2021-06-20,72,71,75,76,1.718,2.787,-2.592,-2.831,-0.08,0.37,-1.62,-0.84,-0.36,-0.28,0.2,0.21,1.89,2.86,-2.22,-2.25,307.7,307.7,312.9,310.8,0.429,0.286,0.571,0.429
"Vegas, Jhonattan",Torrey Pines (South),2021,2021-06-20,75,69,74,76,-1.282,4.787,-1.592,-2.831,2.94,1.45,-0.54,-0.85,-0.98,-0.31,0.52,0.67,-4.5,2.77,-2.08,-2.07,313.1,314.9,314.0,313.6,0.571,0.429,0.429,0.429
"Montgomery, Taylor",Torrey Pines (South),2021,2021-06-20,70,76,74,74,3.718,-2.213,-1.592,-0.831,-1.13,-0.87,-3.62,-2.48,0.08,-2.03,-0.34,-1.37,4.59,-1.14,0.92,2.62,302.6,314.2,316.7,310.4,0.5,0.643,0.643,0.5
"Bhatia, Akshay",Torrey Pines (South),2021,2021-06-20,73,73,73,75,0.718,0.787,-0.592,-1.831,-1.16,0.54,-0.72,0.15,1.45,-0.26,-0.05,1.22,-0.03,0.77,-0.2,-2.65,301.1,298.4,309.4,304.0,0.571,0.5,0.5,0.571
"Mickelson, Phil",Torrey Pines (South),2021,2021-06-20,75,69,76,75,-1.282,4.787,-3.592,-1.831,-1.57,0.28,1.44,0.62,1.36,1.33,-1.67,0.07,-1.83,2.06,-2.62,-2.21,296.4,307.0,294.1,300.0,0.571,0.643,0.429,0.429
"Sigg, Greyson",Torrey Pines (South),2021,2021-06-20,71,74,75,75,2.718,-0.213,-2.592,-1.831,3.54,-0.28,-1.89,-1.06,-1.49,-0.5,0.68,1.63,-0.25,0.34,-1.04,-2.56,304.7,303.9,302.9,308.5,0.571,0.357,0.429,0.429
"Leishman, Marc",Torrey Pines (South),2021,2021-06-20,74,70,75,77,-0.282,3.787,-2.592,-3.831,-0.2,1.52,-1.31,0.48,0.07,-1.12,-0.29,-0.53,-0.01,3.76,-1.08,-2.25,293.1,296.0,300.5,297.3,0.571,0.429,0.571,0.143
"Jones, Matt",Torrey Pines (South),2021,2021-06-20,72,71,79,75,1.718,2.787,-6.592,-1.831,-1.03,0.24,-3.99,-0.53,2.21,2.55,-0.24,0.96,0.77,0.95,-1.77,-2.3,304.9,297.9,305.3,309.7,0.357,0.357,0.429,0.429
"Merritt, Troy",Torrey Pines (South),2021,2021-06-20,75,71,73,78,-1.282,2.787,-0.592,-4.831,-2.48,1.35,1.69,-1.81,0.54,0.78,0.14,-1.4,0.98,0.01,-0.66,-0.01,291.5,294.1,290.2,289.1,0.5,0.714,0.357,0.357
"Lowry, Shane",Torrey Pines (South),2021,2021-06-20,72,74,72,79,1.718,-0.213,0.408,-5.831,3.39,1.75,-0.15,-0.82,0.84,-0.14,0.85,-1.34,-1.46,-1.05,0.28,-2.9,297.0,306.0,302.8,302.1,0.5,0.286,0.429,0.5
"Westmoreland, Kyle",Torrey Pines (South),2021,2021-06-20,71,73,78,76,2.718,0.787,-5.592,-2.831,2.45,1.0,-2.67,1.08,0.19,0.32,-3.56,-2.41,0.33,0.59,0.76,-2.1,316.8,317.2,317.5,323.9,0.143,0.214,0.286,0.429
"Nienaber, Wilco",Torrey Pines (South),2021,2021-06-20,72,74,80,72,1.718,-0.213,-7.592,1.169,0.8,-1.01,-2.5,0.31,-0.3,0.84,-2.76,-0.41,-1.02,-1.8,-2.11,1.32,333.1,347.6,330.4,334.5,0.429,0.357,0.214,0.429
"Walker, Jimmy",Torrey Pines (South),2021,2021-06-20,74,72,77,80,-0.282,1.787,-4.592,-6.831,-0.66,-0.65,0.32,-3.47,1.13,-0.33,-2.87,-2.09,-1.02,4.04,-0.35,-1.65,299.3,297.0,298.1,312.1,0.571,0.286,0.214,0.5
"Gomez, Fabian",Torrey Pines (South),2021,2021-06-20,70,76,78,79,3.718,-2.213,-5.592,-5.831,1.29,1.3,-5.13,-1.03,-0.35,-0.17,1.59,0.62,3.35,-0.67,-1.44,-4.23,287.4,285.3,285.1,284.1,0.5,0.357,0.571,0.5
"Wiesberger, Bernd",Torrey Pines (South),2021,2021-06-20,75,72,,,-1.282,1.787,,,2.46,2.07,,,-0.79,0.59,,,-2.31,-0.79,,,299.2,301.8,,,0.429,0.429,,
"Steele, Brendan",Torrey Pines (South),2021,2021-06-20,73,74,,,0.718,-0.213,,,0.17,-0.78,,,0.47,-1.31,,,0.32,1.64,,,296.3,300.1,,,0.5,0.571,,
"Detry, Thomas",Torrey Pines (South),2021,2021-06-20,71,76,,,2.718,-2.213,,,2.0,-1.83,,,-0.56,-0.02,,,1.86,0.62,,,303.5,311.4,,,0.214,0.357,,
"Smith, Cameron",Torrey Pines (South),2021,2021-06-20,72,75,,,1.718,-1.213,,,0.53,2.13,,,-0.57,-5.25,,,1.76,1.75,,,296.7,304.2,,,0.5,0.571,,
"Ryder, Sam",Torrey Pines (South),2021,2021-06-20,77,70,,,-3.282,3.787,,,-2.57,0.53,,,-1.35,2.26,,,1.09,1.59,,,297.6,295.4,,,0.429,0.357,,
"van Rooyen, Erik",Torrey Pines (South),2021,2021-06-20,74,73,,,-0.282,0.787,,,1.37,-0.98,,,-0.45,-0.52,,,-0.26,2.92,,,296.4,303.0,,,0.286,0.214,,
"Pendrith, Taylor",Torrey Pines (South),2021,2021-06-20,75,72,,,-1.282,1.787,,,-1.76,-1.67,,,0.38,2.07,,,-1.11,-0.8,,,325.8,322.0,,,0.357,0.714,,
"Armitage, Marcus",Torrey Pines (South),2021,2021-06-20,71,76,,,2.718,-2.213,,,2.19,-2.01,,,0.98,0.4,,,-0.81,-0.78,,,298.4,303.6,,,0.571,0.571,,
"Kozan, Andrew",Torrey Pines (South),2021,2021-06-20,71,76,,,2.718,-2.213,,,2.58,-2.37,,,0.19,-1.19,,,0.8,1.04,,,293.4,301.9,,,0.286,0.571,,
"Burns, Sam",Torrey Pines (South),2021,2021-06-20,73,74,,,0.718,-0.213,,,-3.0,1.39,,,1.19,-0.69,,,2.89,-1.19,,,306.4,305.8,,,0.286,0.5,,
"Zaback, Zach",Torrey Pines (South),2021,2021-06-20,75,72,,,-1.282,1.787,,,-1.06,2.39,,,1.6,-0.99,,,-1.84,0.86,,,295.0,298.3,,,0.571,0.357,,
"Clark, Wyndham",Torrey Pines (South),2021,2021-06-20,75,72,,,-1.282,1.787,,,0.55,-0.6,,,-1.93,-0.61,,,-0.7,2.65,,,319.3,319.2,,,0.357,0.357,,
"Kuchar, Matt",Torrey Pines (South),2021,2021-06-20,73,75,,,0.718,-1.213,,,0.23,-1.46,,,2.38,1.86,,,-1.55,-0.19,,,288.4,288.9,,,0.5,0.571,,
