Player Name,Course Name,Year Played,Date Completed,Round Score,Round SG Total,Round SG App,Round SG Arg,Round SG Putt,Round Driving Distance,Round Driving Accuracy
"Bezuidenhout, Christiaan",Torrey Pines (South),2021,2021-06-20,70,2.408,2.51,-0.17,0.73,296.1,0.643
"Bezuidenhout, Christiaan",Torrey Pines (South),2021,2021-06-20,76,-2.831,0.44,0.44,-2.58,289.5,0.571
"Wu, Dylan",Torrey Pines (South),2021,2021-06-20,70,3.718,1.64,0.95,1.32,296.5,0.5
"Wu, Dylan",Torrey Pines (South),2021,2021-06-20,73,0.787,0.17,1.99,-0.4,300.5,0.214
"Wu, Dylan",Torrey Pines (South),2021,2021-06-20,74,-1.592,-1.73,0.94,0.05,299.4,0.286
"Wu, Dylan",Torrey Pines (South),2021,2021-06-20,71,2.169,-0.42,1.17,0.99,306.6,0.571
"Scott, Adam",Torrey Pines (South),2021,2021-06-20,70,3.718,-0.25,0.52,2.53,307.8,0.571
"Scott, Adam",Torrey Pines (South),2021,2021-06-20,75,-1.213,-0.39,-0.72,0.46,306.4,0.214
"Scott, Adam",Torrey Pines (South),2021,2021-06-20,71,1.408,-0.73,0.75,2.09,305.4,0.214
"Scott, Adam",Torrey Pines (South),2021,2021-06-20,73,0.169,-0.5,0.63,-0.76,305.6,0.643
"Molinari, Edoardo",Torrey Pines (South),2021,2021-06-20,70,3.718,0.43,0.79,2.49,299.3,0.5
"Molinari, Edoardo",Torrey Pines (South),2021,2021-06-20,76,-2.213,-1.28,-0.49,0.13,290.9,0.5
"Molinari, Edoardo",Torrey Pines (South),2021,2021-06-20,72,0.408,2.37,-2.48,-0.02,301.9,0.571
"Molinari, Edoardo",Torrey Pines (South),2021,2021-06-20,71,2.169,1.77,0.36,-0.71,305.5,0.643
"Griffin, Lanto",Torrey Pines (South),2021,2021-06-20,76,-2.282,-1.11,-0.28,-1.57,306.4,0.643
"Griffin, Lanto",Torrey Pines (South),2021,2021-06-20,69,4.787,4.32,-0.04,0.65,304.1,0.429
